endpoint,gene,selection_score,model_importance
recurrence,C19orf48,33.66080262948901,0.03658922031641384
recurrence,TPX2,43.94851363110243,0.036321320513209944
recurrence,GMEB2,27.912400415789236,0.03614475164270995
recurrence,PLK1,29.50468138534687,0.03556559596277845
recurrence,YWHAZ,29.607224208309244,0.035426065684467524
recurrence,C3orf18,26.32128195981853,0.03463995548715346
recurrence,FBXO5,26.87513112736591,0.0336759635504352
recurrence,TMEM97,29.196370526259603,0.03359341070434796
recurrence,UBE2T,40.09271507577161,0.033005474510196926
recurrence,ERCC6L,33.01932374938517,0.031612987293061445
recurrence,CENPA,31.899872259507884,0.030111130043206067
recurrence,RPP21,32.81186866386556,0.030025974115865862
recurrence,H2AX,28.849217485245337,0.029090376711888917
recurrence,LINC00324,27.929451036832948,0.028979914368956233
recurrence,MELK,42.841870906996434,0.028371792196424012
recurrence,PNPLA4,26.62940854351252,0.028021345962732615
recurrence,PPP1R14B,37.69773646537147,0.02693785533872272
recurrence,DDX41,37.00929211206551,0.02608005672831376
recurrence,HMGCR,29.017925037244115,0.02467046746348671
recurrence,TTI1,27.526580572485685,0.02464346955289312
recurrence,UBE2S,43.59391365713292,0.024370605500687852
recurrence,WDR62,27.75875201879968,0.02411986942041616
recurrence,PKMYT1,45.12309355425949,0.0231191732629946
recurrence,GTSE1,34.93122933696726,0.02216798372279772
recurrence,PCNX3,28.335506625621555,0.021878692994627823
recurrence,KIFC1,40.1108671668131,0.02169875484800252
recurrence,BRMS1,30.62493284021225,0.020991238065198245
recurrence,RECQL4,41.87350453990163,0.019101678733067624
recurrence,SAPCD2,48.28832782497583,0.018046377150590206
recurrence,SHMT2,36.847478155420234,0.01764749098661378
recurrence,C9orf100,30.013743791999296,0.016524368107693
recurrence,MCU,27.418211243490394,0.015541078492348533
recurrence,YTHDF1,31.99064058700574,0.014466645185717365
recurrence,ATG101,27.870362748606677,0.013380249833956222
recurrence,ASAH1,26.308545907735084,0.013234570702990521
recurrence,AUNIP,26.765093488701883,0.011828996536800184
recurrence,KIF4A,40.88141476387271,0.011450311605159757
recurrence,SGO1,26.68092607201227,0.011282162936035248
recurrence,STIL,34.012373953255356,0.009260728327215428
recurrence,TRNP1,25.957110833081064,0.0074236557737640445
recurrence,UBE2C,64.00531620309215,0.007206436540649307
recurrence,TMEM35B,28.327493424832504,0.006025640906607724
recurrence,C1orf112,27.315504198628933,0.0055812973455616486
recurrence,POLQ,47.4810435704775,0.005279298305632918
recurrence,NEMP1,30.302802824728833,0.005182263861180343
recurrence,ESPL1,39.44242761999266,0.00516424027945538
recurrence,FOXM1,36.89933577712145,0.004896546494924556
recurrence,FUCA1,26.492281802482246,0.0043802998908474555
recurrence,CDCA8,33.6450283654295,0.0038638185049144386
recurrence,MCM6,29.85071751031005,0.002185188565577799
recurrence,PTTG3P,33.40563989565251,0.001725906558693317
recurrence,NUTF2,27.058141022463914,0.0015036047954984921
recurrence,INAVA,28.172763091804644,0.001422587219695381
recurrence,TACC3,32.24556954581219,0.0014028781013462003
recurrence,NT5DC2,26.308422895740847,0.0012659102398953441
recurrence,SPATA18,26.133897010080446,2.081931960263378e-05
